Time,Interval Start,Interval End,Location,Location Type,Market,SPP
2024-07-16 20:00:00-05:00,2024-07-16 20:00:00-05:00,2024-07-16 21:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,67.28
2024-07-16 21:00:00-05:00,2024-07-16 21:00:00-05:00,2024-07-16 22:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,27.1
2024-07-16 22:00:00-05:00,2024-07-16 22:00:00-05:00,2024-07-16 23:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,22.86
2024-07-16 23:00:00-05:00,2024-07-16 23:00:00-05:00,2024-07-17 00:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,17.87
2024-07-17 00:00:00-05:00,2024-07-17 00:00:00-05:00,2024-07-17 01:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,17.73
2024-07-17 01:00:00-05:00,2024-07-17 01:00:00-05:00,2024-07-17 02:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,15.48
2024-07-17 02:00:00-05:00,2024-07-17 02:00:00-05:00,2024-07-17 03:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,13.79
2024-07-17 03:00:00-05:00,2024-07-17 03:00:00-05:00,2024-07-17 04:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,13.91
2024-07-17 04:00:00-05:00,2024-07-17 04:00:00-05:00,2024-07-17 05:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,15.7
2024-07-17 05:00:00-05:00,2024-07-17 05:00:00-05:00,2024-07-17 06:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,17.2
2024-07-17 06:00:00-05:00,2024-07-17 06:00:00-05:00,2024-07-17 07:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,20.04
2024-07-17 07:00:00-05:00,2024-07-17 07:00:00-05:00,2024-07-17 08:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,19.13
2024-07-17 08:00:00-05:00,2024-07-17 08:00:00-05:00,2024-07-17 09:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,18.59
2024-07-17 09:00:00-05:00,2024-07-17 09:00:00-05:00,2024-07-17 10:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,18.27
2024-07-17 10:00:00-05:00,2024-07-17 10:00:00-05:00,2024-07-17 11:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,21.9
2024-07-17 11:00:00-05:00,2024-07-17 11:00:00-05:00,2024-07-17 12:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,29.08
2024-07-17 12:00:00-05:00,2024-07-17 12:00:00-05:00,2024-07-17 13:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,37.18
2024-07-17 13:00:00-05:00,2024-07-17 13:00:00-05:00,2024-07-17 14:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,49.7
2024-07-17 14:00:00-05:00,2024-07-17 14:00:00-05:00,2024-07-17 15:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,56.43
2024-07-17 15:00:00-05:00,2024-07-17 15:00:00-05:00,2024-07-17 16:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,65.89
2024-07-17 16:00:00-05:00,2024-07-17 16:00:00-05:00,2024-07-17 17:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,73.37
2024-07-17 17:00:00-05:00,2024-07-17 17:00:00-05:00,2024-07-17 18:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,71.61
2024-07-17 18:00:00-05:00,2024-07-17 18:00:00-05:00,2024-07-17 19:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,63.81
2024-07-17 19:00:00-05:00,2024-07-17 19:00:00-05:00,2024-07-17 20:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,80.99
2024-07-17 20:00:00-05:00,2024-07-17 20:00:00-05:00,2024-07-17 21:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,74.05
2024-07-17 21:00:00-05:00,2024-07-17 21:00:00-05:00,2024-07-17 22:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,33.73
2024-07-17 22:00:00-05:00,2024-07-17 22:00:00-05:00,2024-07-17 23:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,24.3
2024-07-17 23:00:00-05:00,2024-07-17 23:00:00-05:00,2024-07-18 00:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,21.53
2024-07-18 00:00:00-05:00,2024-07-18 00:00:00-05:00,2024-07-18 01:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,27.0
2024-07-18 01:00:00-05:00,2024-07-18 01:00:00-05:00,2024-07-18 02:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,24.55
2024-07-18 02:00:00-05:00,2024-07-18 02:00:00-05:00,2024-07-18 03:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,21.93
2024-07-18 03:00:00-05:00,2024-07-18 03:00:00-05:00,2024-07-18 04:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,20.54
2024-07-18 04:00:00-05:00,2024-07-18 04:00:00-05:00,2024-07-18 05:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,21.95
2024-07-18 05:00:00-05:00,2024-07-18 05:00:00-05:00,2024-07-18 06:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,25.82
2024-07-18 06:00:00-05:00,2024-07-18 06:00:00-05:00,2024-07-18 07:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,28.94
2024-07-18 07:00:00-05:00,2024-07-18 07:00:00-05:00,2024-07-18 08:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,24.86
2024-07-18 08:00:00-05:00,2024-07-18 08:00:00-05:00,2024-07-18 09:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,20.13
2024-07-18 09:00:00-05:00,2024-07-18 09:00:00-05:00,2024-07-18 10:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,18.61
2024-07-18 10:00:00-05:00,2024-07-18 10:00:00-05:00,2024-07-18 11:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,20.13
2024-07-18 11:00:00-05:00,2024-07-18 11:00:00-05:00,2024-07-18 12:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,22.34
2024-07-18 12:00:00-05:00,2024-07-18 12:00:00-05:00,2024-07-18 13:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,24.68
2024-07-18 13:00:00-05:00,2024-07-18 13:00:00-05:00,2024-07-18 14:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,25.32
2024-07-18 14:00:00-05:00,2024-07-18 14:00:00-05:00,2024-07-18 15:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,24.0
2024-07-18 15:00:00-05:00,2024-07-18 15:00:00-05:00,2024-07-18 16:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,26.59
2024-07-18 16:00:00-05:00,2024-07-18 16:00:00-05:00,2024-07-18 17:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,26.45
2024-07-18 17:00:00-05:00,2024-07-18 17:00:00-05:00,2024-07-18 18:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,26.73
2024-07-18 18:00:00-05:00,2024-07-18 18:00:00-05:00,2024-07-18 19:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,27.52
2024-07-18 19:00:00-05:00,2024-07-18 19:00:00-05:00,2024-07-18 20:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,44.98
2024-07-18 20:00:00-05:00,2024-07-18 20:00:00-05:00,2024-07-18 21:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,42.47
2024-07-18 21:00:00-05:00,2024-07-18 21:00:00-05:00,2024-07-18 22:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,26.89
2024-07-18 22:00:00-05:00,2024-07-18 22:00:00-05:00,2024-07-18 23:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,12.18
2024-07-18 23:00:00-05:00,2024-07-18 23:00:00-05:00,2024-07-19 00:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,22.21
2024-07-19 00:00:00-05:00,2024-07-19 00:00:00-05:00,2024-07-19 01:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,-1.2
2024-07-19 01:00:00-05:00,2024-07-19 01:00:00-05:00,2024-07-19 02:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,-3.49
2024-07-19 02:00:00-05:00,2024-07-19 02:00:00-05:00,2024-07-19 03:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,-5.39
2024-07-19 03:00:00-05:00,2024-07-19 03:00:00-05:00,2024-07-19 04:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,-4.04
2024-07-19 04:00:00-05:00,2024-07-19 04:00:00-05:00,2024-07-19 05:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,-6.74
2024-07-19 05:00:00-05:00,2024-07-19 05:00:00-05:00,2024-07-19 06:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,-5.99
2024-07-19 06:00:00-05:00,2024-07-19 06:00:00-05:00,2024-07-19 07:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,-3.27
2024-07-19 07:00:00-05:00,2024-07-19 07:00:00-05:00,2024-07-19 08:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,4.89
2024-07-19 08:00:00-05:00,2024-07-19 08:00:00-05:00,2024-07-19 09:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,18.05
2024-07-19 09:00:00-05:00,2024-07-19 09:00:00-05:00,2024-07-19 10:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,16.18
2024-07-19 10:00:00-05:00,2024-07-19 10:00:00-05:00,2024-07-19 11:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,17.08
2024-07-19 11:00:00-05:00,2024-07-19 11:00:00-05:00,2024-07-19 12:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,20.93
2024-07-19 12:00:00-05:00,2024-07-19 12:00:00-05:00,2024-07-19 13:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,25.32
2024-07-19 13:00:00-05:00,2024-07-19 13:00:00-05:00,2024-07-19 14:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,27.78
2024-07-19 14:00:00-05:00,2024-07-19 14:00:00-05:00,2024-07-19 15:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,28.77
2024-07-19 15:00:00-05:00,2024-07-19 15:00:00-05:00,2024-07-19 16:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,31.98
2024-07-19 16:00:00-05:00,2024-07-19 16:00:00-05:00,2024-07-19 17:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,33.01
2024-07-19 17:00:00-05:00,2024-07-19 17:00:00-05:00,2024-07-19 18:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,34.66
2024-07-19 18:00:00-05:00,2024-07-19 18:00:00-05:00,2024-07-19 19:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,35.45
2024-07-19 19:00:00-05:00,2024-07-19 19:00:00-05:00,2024-07-19 20:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,49.28
2024-07-19 20:00:00-05:00,2024-07-19 20:00:00-05:00,2024-07-19 21:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,29.45
2024-07-19 21:00:00-05:00,2024-07-19 21:00:00-05:00,2024-07-19 22:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,17.58
2024-07-19 22:00:00-05:00,2024-07-19 22:00:00-05:00,2024-07-19 23:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,0.33
2024-07-19 23:00:00-05:00,2024-07-19 23:00:00-05:00,2024-07-20 00:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,5.36
2024-07-20 00:00:00-05:00,2024-07-20 00:00:00-05:00,2024-07-20 01:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,9.49
2024-07-20 01:00:00-05:00,2024-07-20 01:00:00-05:00,2024-07-20 02:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,7.86
2024-07-20 02:00:00-05:00,2024-07-20 02:00:00-05:00,2024-07-20 03:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,4.96
2024-07-20 03:00:00-05:00,2024-07-20 03:00:00-05:00,2024-07-20 04:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,5.5
2024-07-20 04:00:00-05:00,2024-07-20 04:00:00-05:00,2024-07-20 05:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,5.14
2024-07-20 05:00:00-05:00,2024-07-20 05:00:00-05:00,2024-07-20 06:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,6.11
2024-07-20 06:00:00-05:00,2024-07-20 06:00:00-05:00,2024-07-20 07:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,9.61
